"id","trade_date","trade_action","predicted_price","final_portfolio_value","created_at"
1,"2024-01-31","HOLD","187.0399932861328","100000.0","2025-01-09 20:52:10.603487"
2,"2024-02-01","HOLD","183.99000549316406","100000.0","2025-01-09 20:52:10.603487"
3,"2024-02-02","HOLD","179.86000061035156","100000.0","2025-01-09 20:52:10.603487"
4,"2024-02-05","HOLD","188.14999389648438","100000.0","2025-01-09 20:52:10.603487"
5,"2024-02-06","HOLD","186.86000061035156","100000.0","2025-01-09 20:52:10.603487"
6,"2024-02-07","HOLD","190.63999938964844","100000.0","2025-01-09 20:52:10.603487"
7,"2024-02-08","HOLD","189.38999938964844","100000.0","2025-01-09 20:52:10.603487"
8,"2024-02-09","HOLD","188.64999389648438","100000.0","2025-01-09 20:52:10.603487"
9,"2024-02-12","HOLD","188.4199981689453","100000.0","2025-01-09 20:52:10.603487"
10,"2024-02-13","HOLD","185.77000427246094","100000.0","2025-01-09 20:52:10.603487"
11,"2024-02-14","HOLD","185.32000732421875","100000.0","2025-01-09 20:52:10.603487"
12,"2024-02-15","HOLD","183.5500030517578","100000.0","2025-01-09 20:52:10.603487"
13,"2024-02-16","HOLD","183.4199981689453","100000.0","2025-01-09 20:52:10.603487"
14,"2024-02-20","HOLD","181.7899932861328","100000.0","2025-01-09 20:52:10.603487"
15,"2024-02-21","HOLD","181.94000244140625","100000.0","2025-01-09 20:52:10.603487"
16,"2024-02-22","HOLD","183.47999572753906","100000.0","2025-01-09 20:52:10.603487"
17,"2024-02-23","HOLD","185.00999450683594","100000.0","2025-01-09 20:52:10.603487"
18,"2024-02-26","HOLD","182.24000549316406","100000.0","2025-01-09 20:52:10.603487"
19,"2024-02-27","HOLD","181.10000610351562","100000.0","2025-01-09 20:52:10.603487"
20,"2024-02-28","HOLD","182.50999450683594","100000.0","2025-01-09 20:52:10.603487"
21,"2024-02-29","HOLD","181.27000427246094","100000.0","2025-01-09 20:52:10.603487"
22,"2024-03-01","HOLD","179.5500030517578","100000.0","2025-01-09 20:52:10.603487"
23,"2024-03-04","HOLD","176.14999389648438","100000.0","2025-01-09 20:52:10.603487"
24,"2024-03-05","HOLD","170.75999450683594","100000.0","2025-01-09 20:52:10.603487"
25,"2024-03-06","HOLD","171.05999755859375","100000.0","2025-01-09 20:52:10.603487"
26,"2024-03-07","HOLD","169.14999389648438","100000.0","2025-01-09 20:52:10.603487"
27,"2024-03-08","HOLD","169.0","100000.0","2025-01-09 20:52:10.603487"
28,"2024-03-11","HOLD","172.94000244140625","100000.0","2025-01-09 20:52:10.603487"
29,"2024-03-12","HOLD","173.14999389648438","100000.0","2025-01-09 20:52:10.603487"
30,"2024-03-13","HOLD","172.77000427246094","100000.0","2025-01-09 20:52:10.603487"
31,"2024-03-14","HOLD","172.91000366210938","100000.0","2025-01-09 20:52:10.603487"
32,"2024-03-15","HOLD","171.1699981689453","100000.0","2025-01-09 20:52:10.603487"
33,"2024-03-18","HOLD","175.57000732421875","100000.0","2025-01-09 20:52:10.603487"
34,"2024-03-19","HOLD","174.33999633789062","100000.0","2025-01-09 20:52:10.603487"
35,"2024-03-20","HOLD","175.72000122070312","100000.0","2025-01-09 20:52:10.603487"
36,"2024-03-21","HOLD","177.0500030517578","100000.0","2025-01-09 20:52:10.603487"
37,"2024-03-22","HOLD","171.75999450683594","100000.0","2025-01-09 20:52:10.603487"
38,"2024-03-25","BUY","170.57000732421875","99970.0","2025-01-09 20:52:10.603487"
39,"2024-03-26","BUY","170.0","99848.75562020118","2025-01-09 20:52:10.603487"
40,"2024-03-27","BUY","170.41000366210938","99956.80582033508","2025-01-09 20:52:10.603487"
41,"2024-03-28","BUY","171.75","100463.15920710399","2025-01-09 20:52:10.603487"
42,"2024-04-01","BUY","171.19000244140625","100206.55592889189","2025-01-09 20:52:10.603487"
43,"2024-04-02","BUY","169.0800018310547","99173.14073508479","2025-01-09 20:52:10.603487"
44,"2024-04-03","BUY","168.7899932861328","99019.64457675291","2025-01-09 20:52:10.603487"
45,"2024-04-04","BUY","170.2899932861328","99824.18021915195","2025-01-09 20:52:10.603487"
46,"2024-04-05","BUY","169.58999633789062","99435.73348771827","2025-01-09 20:52:10.603487"
47,"2024-04-08","BUY","169.02999877929688","99119.45779385937","2025-01-09 20:52:10.603487"
48,"2024-04-09","BUY","168.6999969482422","98930.59164996009","2025-01-09 20:52:10.603487"
49,"2024-04-10","BUY","168.8000030517578","98987.4810803473","2025-01-09 20:52:10.603487"
50,"2024-04-11","BUY","168.33999633789062","98721.06404234022","2025-01-09 20:52:10.603487"
51,"2024-04-12","BUY","174.25999450683594","102158.60662907058","2025-01-09 20:52:10.603487"
52,"2024-04-15","BUY","175.36000061035156","102799.01902816503","2025-01-09 20:52:10.603487"
